,name,time_elapsed,total_iteration,a_star_executions,total_cost,path_length,heuristic,map
0,04062022_Testmap_weighted_50_None_0,0.33,81,1,586,82,None,Testmap_weighted_50
1,04062022_Testmap_weighted_50_None_1,0.34,81,1,586,82,None,Testmap_weighted_50
2,04062022_Testmap_weighted_50_None_2,0.34,81,1,586,82,None,Testmap_weighted_50
3,04062022_Testmap_weighted_50_None_3,0.34,81,1,586,82,None,Testmap_weighted_50
4,04062022_Testmap_weighted_50_None_4,0.34,81,1,586,82,None,Testmap_weighted_50
5,04062022_Testmap_weighted_50_None_5,0.33,81,1,586,82,None,Testmap_weighted_50
6,04062022_Testmap_weighted_50_None_6,0.34,81,1,586,82,None,Testmap_weighted_50
7,04062022_Testmap_weighted_50_None_7,0.33,81,1,586,82,None,Testmap_weighted_50
8,04062022_Testmap_weighted_50_None_8,0.34,81,1,586,82,None,Testmap_weighted_50
9,04062022_Testmap_weighted_50_None_9,0.33,81,1,586,82,None,Testmap_weighted_50
10,04062022_Testmap_weighted_50_None_10,0.34,81,1,586,82,None,Testmap_weighted_50
11,04062022_Testmap_weighted_50_None_11,0.33,81,1,586,82,None,Testmap_weighted_50
12,04062022_Testmap_weighted_50_None_12,0.34,81,1,586,82,None,Testmap_weighted_50
13,04062022_Testmap_weighted_50_None_13,0.33,81,1,586,82,None,Testmap_weighted_50
14,04062022_Testmap_weighted_50_None_14,0.34,81,1,586,82,None,Testmap_weighted_50
15,04062022_Testmap_weighted_50_None_15,0.33,81,1,586,82,None,Testmap_weighted_50
16,04062022_Testmap_weighted_50_None_16,0.33,81,1,586,82,None,Testmap_weighted_50
17,04062022_Testmap_weighted_50_None_17,0.33,81,1,586,82,None,Testmap_weighted_50
18,04062022_Testmap_weighted_50_None_18,0.34,81,1,586,82,None,Testmap_weighted_50
19,04062022_Testmap_weighted_50_None_19,0.33,81,1,586,82,None,Testmap_weighted_50
20,04062022_Testmap_weighted_50_None_20,0.33,81,1,586,82,None,Testmap_weighted_50
21,04062022_Testmap_weighted_50_None_21,0.33,81,1,586,82,None,Testmap_weighted_50
22,04062022_Testmap_weighted_50_None_22,0.33,81,1,586,82,None,Testmap_weighted_50
23,04062022_Testmap_weighted_50_None_23,0.33,81,1,586,82,None,Testmap_weighted_50
24,04062022_Testmap_weighted_50_None_24,0.33,81,1,586,82,None,Testmap_weighted_50
25,04062022_Testmap_weighted_50_None_25,0.33,81,1,586,82,None,Testmap_weighted_50
26,04062022_Testmap_weighted_50_None_26,0.34,81,1,586,82,None,Testmap_weighted_50
27,04062022_Testmap_weighted_50_None_27,0.33,81,1,586,82,None,Testmap_weighted_50
28,04062022_Testmap_weighted_50_None_28,0.33,81,1,586,82,None,Testmap_weighted_50
29,04062022_Testmap_weighted_50_None_29,0.33,81,1,586,82,None,Testmap_weighted_50
30,04062022_Testmap_weighted_50_Manhattan_0,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
31,04062022_Testmap_weighted_50_Manhattan_1,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
32,04062022_Testmap_weighted_50_Manhattan_2,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
33,04062022_Testmap_weighted_50_Manhattan_3,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
34,04062022_Testmap_weighted_50_Manhattan_4,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
35,04062022_Testmap_weighted_50_Manhattan_5,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
36,04062022_Testmap_weighted_50_Manhattan_6,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
37,04062022_Testmap_weighted_50_Manhattan_7,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
38,04062022_Testmap_weighted_50_Manhattan_8,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
39,04062022_Testmap_weighted_50_Manhattan_9,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
40,04062022_Testmap_weighted_50_Manhattan_10,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
41,04062022_Testmap_weighted_50_Manhattan_11,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
42,04062022_Testmap_weighted_50_Manhattan_12,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
43,04062022_Testmap_weighted_50_Manhattan_13,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
44,04062022_Testmap_weighted_50_Manhattan_14,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
45,04062022_Testmap_weighted_50_Manhattan_15,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
46,04062022_Testmap_weighted_50_Manhattan_16,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
47,04062022_Testmap_weighted_50_Manhattan_17,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
48,04062022_Testmap_weighted_50_Manhattan_18,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
49,04062022_Testmap_weighted_50_Manhattan_19,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
50,04062022_Testmap_weighted_50_Manhattan_20,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
51,04062022_Testmap_weighted_50_Manhattan_21,0.33,81,1,586,82,Manhattan,Testmap_weighted_50
52,04062022_Testmap_weighted_50_Manhattan_22,0.35,81,1,586,82,Manhattan,Testmap_weighted_50
53,04062022_Testmap_weighted_50_Manhattan_23,0.36,81,1,586,82,Manhattan,Testmap_weighted_50
54,04062022_Testmap_weighted_50_Manhattan_24,0.36,81,1,586,82,Manhattan,Testmap_weighted_50
55,04062022_Testmap_weighted_50_Manhattan_25,0.35,81,1,586,82,Manhattan,Testmap_weighted_50
56,04062022_Testmap_weighted_50_Manhattan_26,0.34,81,1,586,82,Manhattan,Testmap_weighted_50
57,04062022_Testmap_weighted_50_Manhattan_27,0.36,81,1,586,82,Manhattan,Testmap_weighted_50
58,04062022_Testmap_weighted_50_Manhattan_28,0.35,81,1,586,82,Manhattan,Testmap_weighted_50
59,04062022_Testmap_weighted_50_Manhattan_29,0.36,81,1,586,82,Manhattan,Testmap_weighted_50
60,04062022_Testmap_weighted_50_Euclidean_0,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
61,04062022_Testmap_weighted_50_Euclidean_1,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
62,04062022_Testmap_weighted_50_Euclidean_2,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
63,04062022_Testmap_weighted_50_Euclidean_3,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
64,04062022_Testmap_weighted_50_Euclidean_4,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
65,04062022_Testmap_weighted_50_Euclidean_5,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
66,04062022_Testmap_weighted_50_Euclidean_6,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
67,04062022_Testmap_weighted_50_Euclidean_7,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
68,04062022_Testmap_weighted_50_Euclidean_8,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
69,04062022_Testmap_weighted_50_Euclidean_9,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
70,04062022_Testmap_weighted_50_Euclidean_10,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
71,04062022_Testmap_weighted_50_Euclidean_11,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
72,04062022_Testmap_weighted_50_Euclidean_12,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
73,04062022_Testmap_weighted_50_Euclidean_13,0.39,81,1,586,82,Euclidean,Testmap_weighted_50
74,04062022_Testmap_weighted_50_Euclidean_14,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
75,04062022_Testmap_weighted_50_Euclidean_15,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
76,04062022_Testmap_weighted_50_Euclidean_16,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
77,04062022_Testmap_weighted_50_Euclidean_17,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
78,04062022_Testmap_weighted_50_Euclidean_18,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
79,04062022_Testmap_weighted_50_Euclidean_19,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
80,04062022_Testmap_weighted_50_Euclidean_20,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
81,04062022_Testmap_weighted_50_Euclidean_21,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
82,04062022_Testmap_weighted_50_Euclidean_22,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
83,04062022_Testmap_weighted_50_Euclidean_23,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
84,04062022_Testmap_weighted_50_Euclidean_24,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
85,04062022_Testmap_weighted_50_Euclidean_25,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
86,04062022_Testmap_weighted_50_Euclidean_26,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
87,04062022_Testmap_weighted_50_Euclidean_27,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
88,04062022_Testmap_weighted_50_Euclidean_28,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
89,04062022_Testmap_weighted_50_Euclidean_29,0.33,81,1,586,82,Euclidean,Testmap_weighted_50
90,04062022_Testmap_weighted_50_Chebyshev_0,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
91,04062022_Testmap_weighted_50_Chebyshev_1,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
92,04062022_Testmap_weighted_50_Chebyshev_2,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
93,04062022_Testmap_weighted_50_Chebyshev_3,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
94,04062022_Testmap_weighted_50_Chebyshev_4,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
95,04062022_Testmap_weighted_50_Chebyshev_5,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
96,04062022_Testmap_weighted_50_Chebyshev_6,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
97,04062022_Testmap_weighted_50_Chebyshev_7,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
98,04062022_Testmap_weighted_50_Chebyshev_8,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
99,04062022_Testmap_weighted_50_Chebyshev_9,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
100,04062022_Testmap_weighted_50_Chebyshev_10,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
101,04062022_Testmap_weighted_50_Chebyshev_11,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
102,04062022_Testmap_weighted_50_Chebyshev_12,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
103,04062022_Testmap_weighted_50_Chebyshev_13,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
104,04062022_Testmap_weighted_50_Chebyshev_14,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
105,04062022_Testmap_weighted_50_Chebyshev_15,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
106,04062022_Testmap_weighted_50_Chebyshev_16,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
107,04062022_Testmap_weighted_50_Chebyshev_17,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
108,04062022_Testmap_weighted_50_Chebyshev_18,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
109,04062022_Testmap_weighted_50_Chebyshev_19,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
110,04062022_Testmap_weighted_50_Chebyshev_20,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
111,04062022_Testmap_weighted_50_Chebyshev_21,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
112,04062022_Testmap_weighted_50_Chebyshev_22,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
113,04062022_Testmap_weighted_50_Chebyshev_23,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
114,04062022_Testmap_weighted_50_Chebyshev_24,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
115,04062022_Testmap_weighted_50_Chebyshev_25,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
116,04062022_Testmap_weighted_50_Chebyshev_26,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
117,04062022_Testmap_weighted_50_Chebyshev_27,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
118,04062022_Testmap_weighted_50_Chebyshev_28,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
119,04062022_Testmap_weighted_50_Chebyshev_29,0.33,81,1,586,82,Chebyshev,Testmap_weighted_50
120,04062022_Testmap_weighted_100_None_0,1.55,207,1,1628,208,None,Testmap_weighted_100
121,04062022_Testmap_weighted_100_None_1,1.59,207,1,1628,208,None,Testmap_weighted_100
122,04062022_Testmap_weighted_100_None_2,1.58,207,1,1628,208,None,Testmap_weighted_100
123,04062022_Testmap_weighted_100_None_3,1.58,207,1,1628,208,None,Testmap_weighted_100
124,04062022_Testmap_weighted_100_None_4,1.59,207,1,1628,208,None,Testmap_weighted_100
125,04062022_Testmap_weighted_100_None_5,1.58,207,1,1628,208,None,Testmap_weighted_100
126,04062022_Testmap_weighted_100_None_6,1.59,207,1,1628,208,None,Testmap_weighted_100
127,04062022_Testmap_weighted_100_None_7,1.58,207,1,1628,208,None,Testmap_weighted_100
128,04062022_Testmap_weighted_100_None_8,1.59,207,1,1628,208,None,Testmap_weighted_100
129,04062022_Testmap_weighted_100_None_9,1.58,207,1,1628,208,None,Testmap_weighted_100
130,04062022_Testmap_weighted_100_None_10,1.59,207,1,1628,208,None,Testmap_weighted_100
131,04062022_Testmap_weighted_100_None_11,1.58,207,1,1628,208,None,Testmap_weighted_100
132,04062022_Testmap_weighted_100_None_12,1.59,207,1,1628,208,None,Testmap_weighted_100
133,04062022_Testmap_weighted_100_None_13,1.58,207,1,1628,208,None,Testmap_weighted_100
134,04062022_Testmap_weighted_100_None_14,1.59,207,1,1628,208,None,Testmap_weighted_100
135,04062022_Testmap_weighted_100_None_15,1.58,207,1,1628,208,None,Testmap_weighted_100
136,04062022_Testmap_weighted_100_None_16,1.59,207,1,1628,208,None,Testmap_weighted_100
137,04062022_Testmap_weighted_100_None_17,1.58,207,1,1628,208,None,Testmap_weighted_100
138,04062022_Testmap_weighted_100_None_18,1.59,207,1,1628,208,None,Testmap_weighted_100
139,04062022_Testmap_weighted_100_None_19,1.61,207,1,1628,208,None,Testmap_weighted_100
140,04062022_Testmap_weighted_100_None_20,1.58,207,1,1628,208,None,Testmap_weighted_100
141,04062022_Testmap_weighted_100_None_21,1.58,207,1,1628,208,None,Testmap_weighted_100
142,04062022_Testmap_weighted_100_None_22,1.59,207,1,1628,208,None,Testmap_weighted_100
143,04062022_Testmap_weighted_100_None_23,1.58,207,1,1628,208,None,Testmap_weighted_100
144,04062022_Testmap_weighted_100_None_24,1.58,207,1,1628,208,None,Testmap_weighted_100
145,04062022_Testmap_weighted_100_None_25,1.58,207,1,1628,208,None,Testmap_weighted_100
146,04062022_Testmap_weighted_100_None_26,1.59,207,1,1628,208,None,Testmap_weighted_100
147,04062022_Testmap_weighted_100_None_27,1.58,207,1,1628,208,None,Testmap_weighted_100
148,04062022_Testmap_weighted_100_None_28,1.58,207,1,1628,208,None,Testmap_weighted_100
149,04062022_Testmap_weighted_100_None_29,1.58,207,1,1628,208,None,Testmap_weighted_100
150,04062022_Testmap_weighted_100_Manhattan_0,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
151,04062022_Testmap_weighted_100_Manhattan_1,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
152,04062022_Testmap_weighted_100_Manhattan_2,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
153,04062022_Testmap_weighted_100_Manhattan_3,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
154,04062022_Testmap_weighted_100_Manhattan_4,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
155,05062022_Testmap_weighted_100_Manhattan_5,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
156,05062022_Testmap_weighted_100_Manhattan_6,1.59,207,1,1628,208,Manhattan,Testmap_weighted_100
157,05062022_Testmap_weighted_100_Manhattan_7,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
158,05062022_Testmap_weighted_100_Manhattan_8,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
159,05062022_Testmap_weighted_100_Manhattan_9,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
160,05062022_Testmap_weighted_100_Manhattan_10,1.59,207,1,1628,208,Manhattan,Testmap_weighted_100
161,05062022_Testmap_weighted_100_Manhattan_11,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
162,05062022_Testmap_weighted_100_Manhattan_12,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
163,05062022_Testmap_weighted_100_Manhattan_13,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
164,05062022_Testmap_weighted_100_Manhattan_14,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
165,05062022_Testmap_weighted_100_Manhattan_15,1.57,207,1,1628,208,Manhattan,Testmap_weighted_100
166,05062022_Testmap_weighted_100_Manhattan_16,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
167,05062022_Testmap_weighted_100_Manhattan_17,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
168,05062022_Testmap_weighted_100_Manhattan_18,1.59,207,1,1628,208,Manhattan,Testmap_weighted_100
169,05062022_Testmap_weighted_100_Manhattan_19,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
170,05062022_Testmap_weighted_100_Manhattan_20,1.62,207,1,1628,208,Manhattan,Testmap_weighted_100
171,05062022_Testmap_weighted_100_Manhattan_21,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
172,05062022_Testmap_weighted_100_Manhattan_22,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
173,05062022_Testmap_weighted_100_Manhattan_23,1.57,207,1,1628,208,Manhattan,Testmap_weighted_100
174,05062022_Testmap_weighted_100_Manhattan_24,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
175,05062022_Testmap_weighted_100_Manhattan_25,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
176,05062022_Testmap_weighted_100_Manhattan_26,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
177,05062022_Testmap_weighted_100_Manhattan_27,1.57,207,1,1628,208,Manhattan,Testmap_weighted_100
178,05062022_Testmap_weighted_100_Manhattan_28,1.58,207,1,1628,208,Manhattan,Testmap_weighted_100
179,05062022_Testmap_weighted_100_Manhattan_29,1.57,207,1,1628,208,Manhattan,Testmap_weighted_100
180,05062022_Testmap_weighted_100_Euclidean_0,1.58,207,1,1628,208,Euclidean,Testmap_weighted_100
